Rank;Sourceid;Title;Type;Issn;Publisher;Open Access;Open Access Diamond;SJR;SJR Best Quartile;H index;Total Docs. (2025);Total Docs. (3years);Total Refs.;Total Citations (3years);Citable Docs. (3years);Citations / Doc. (2years);Ref. / Doc.;%Female;Overton;Country;Region;Publisher;Coverage;Categories;Areas
65;21101036615;"Relacoes Internacionais no Mundo Atual";journal;"23162880";"Centro Universitario Curitiba - UNICURITIBA";No;No;0,283;Q2;9;48;436;1468;179;435;0,47;30,58;52,38;0;Brazil;Latin America;"Centro Universitario Curitiba - UNICURITIBA";"2019-2026";"Law (Q2); Political Science and International Relations (Q2); Public Administration (Q3); Sociology and Political Science (Q3)";"Social Sciences"
66;21100923617;"Revista Pedagogia Universitaria y Didactica del Derecho";journal;"07195885";"Universidad de Chile";Yes;Yes;0,283;Q2;9;17;95;539;44;93;0,42;31,71;53,33;0;Chile;Latin America;"Universidad de Chile";"2019-2025";"Law (Q2); Education (Q3)";"Social Sciences"
67;21101058102;"European Journal of Education and Psychology";journal;"18888992, 19892209";"Universidad Autonoma de Chile";No;No;0,281;Q3;12;14;43;854;48;41;1,24;61,00;57,41;0;Chile;Latin America;"Universidad Autonoma de Chile";"2019-2025";"Education (Q3); Psychology (miscellaneous) (Q3)";"Psychology; Social Sciences"
68;21100211373;"Formacion Universitaria";journal;"07185006";"Centro de Informacion Tecnologica";Yes;Yes;0,280;Q3;27;92;206;2955;292;205;1,38;32,12;45,31;0;Chile;Latin America;"Centro de Informacion Tecnologica";"2012-2025";"Education (Q3)";"Social Sciences"
69;5600155076;"Revista de Estudios Sociales";journal;"19005180, 0123885X";"Universidad de los Andes, Colombia";Yes;Yes;0,279;Q1;22;36;95;1913;101;95;1,00;53,14;38,46;0;Colombia;Latin America;"Universidad de los Andes, Colombia";"2007, 2009-2026";"Cultural Studies (Q1); History (Q1); Arts and Humanities (miscellaneous) (Q2); Gender Studies (Q2); Social Sciences (miscellaneous) (Q2); Sociology and Political Science (Q3)";"Arts and Humanities; Social Sciences"
70;19900191880;"Bolema - Mathematics Education Bulletin";journal;"0103636X, 19804415";"BOLEMA Departamento de Matematica";Yes;Yes;0,276;Q3;19;68;219;2428;82;219;0,34;35,71;52,76;0;Brazil;Latin America;"BOLEMA Departamento de Matematica";"2010-2025";"Education (Q3); Mathematics (miscellaneous) (Q3)";"Mathematics; Social Sciences"
71;21100893188;"Revista de Urbanismo";journal;"07175051";"Universidad de Chile";Yes;Yes;0,273;Q2;9;20;63;1118;53;60;0,85;55,90;44,90;0;Chile;Latin America;"Universidad de Chile";"2010, 2018-2025";"Urban Studies (Q2); Geography, Planning and Development (Q3); Nature and Landscape Conservation (Q3)";"Environmental Science; Social Sciences"
72;21100926573;"Derecho PUCP";journal;"23052546, 02513420";"Pontificia Universidad Catolica del Peru";Yes;Yes;0,271;Q2;7;18;65;1542;48;65;0,63;85,67;18,18;0;Peru;Latin America;"Pontificia Universidad Catolica del Peru";"2019-2025";"Law (Q2)";"Social Sciences"
73;21100981747;"Urbano";journal;"07173997, 07183607";"Universidad del Bio Bio";Yes;Yes;0,271;Q2;8;22;57;674;48;51;0,87;30,64;51,92;0;Chile;Latin America;"Universidad del Bio Bio";"2016-2025";"Urban Studies (Q2)";"Social Sciences"
74;21100258403;"Mutatis Mutandis";journal;"2011799X";"Universidad de Antioquia";Yes;Yes;0,270;Q2;9;28;82;1481;35;75;0,36;52,89;70,45;0;Colombia;Latin America;"Universidad de Antioquia";"2013-2025";"Linguistics and Language (Q2)";"Social Sciences"
75;21100200415;"Revista Colombiana de Psicologia";journal;"23448644, 01215469";"Universidad Nacional de Colombia";Yes;Yes;0,268;Q3;16;18;37;991;28;37;0,70;55,06;53,62;0;Colombia;Latin America;"Universidad Nacional de Colombia";"2011-2025";"Psychology (miscellaneous) (Q3); Social Sciences (miscellaneous) (Q3)";"Psychology; Social Sciences"
76;21100936587;"Revista de Derecho Administrativo Economico";journal;"07174888, 07195591";"Pontifica Universidad Catolica de Chile, Programa de Derecho Administrativo Economico";Yes;No;0,266;Q2;5;73;116;2354;26;113;0,22;32,25;25,86;0;Chile;Latin America;"Pontifica Universidad Catolica de Chile, Programa de Derecho Administrativo Economico";"2019-2025";"Law (Q2); Public Administration (Q3)";"Social Sciences"
