Rank Arts and Humanities;Revista;ISSN;Editorial;País;Sitio web oficial;Estado de verificación;Fuente de verificación;Observación
128;Manuscrito;01006045, 2317630X;Universidade Estadual de Campinas - UNICAMP, Centro de Logica, Epistemologia e Historia da Ciencia;Brazil;http://www.scielo.br/scielo.php?script=sci_serial&pid=0100-6045&lng=en&nrm=iso;Verificado por ISSN en DOAJ;https://doaj.org/toc/396c3916f42f4d39bd413e8b3a753d38;"Coincidencia exacta de ISSN con el registro DOAJ de «Manuscrito»; editorial declarada: Universidade Estadual de Campinas."
129;Per Musi;15177599, 23176377;Universidade Federal of Minas Gerais;Brazil;https://periodicos.ufmg.br/index.php/permusi/index;Verificado por ISSN en DOAJ;https://doaj.org/toc/7e616dffa89d4f6395e390d5a5a8c6bf;"Coincidencia exacta de ISSN con el registro DOAJ de «Per Musi»; editorial declarada: Escola de Música da UFMG."
130;Revista de Humanidades;07170491;Universidad Andres Bello;Chile;https://revistahumanidades.unab.cl/index.php/revista-de-humanidades;Verificado manualmente;https://revistahumanidades.unab.cl/index.php/revista-de-humanidades;"Sitio oficial de la Universidad Andrés Bello; ISSN 0717-0491."
135;Boletin de Estetica;16687132, 24084417;Centro de Investigaciones Filosoficas;Argentina;https://boletindeestetica.com.ar/index.php/boletin;Verificado manualmente;https://boletindeestetica.com.ar/index.php/boletin;"Sitio oficial del Programa de Estética y Filosofía del Arte; e-ISSN 2408-4417."
136;Cuestiones de Filosofia;23899441, 01235095;Universidad Pedagogica y Tecnologica de Colombia;Colombia;http://revistas.uptc.edu.co/index.php/cuestiones_filosofia;Verificado por ISSN en DOAJ;https://doaj.org/toc/4782c2b904e7497bac6342c753dd2974;"Coincidencia exacta de ISSN con el registro DOAJ de «Cuestiones de Filosofía»; editorial declarada: Universidad Pedagógica y Tecnológica de Colombia."
137;Strategic Design Research Journal;19842988;Universidade do Vale do Rio dos Sinos;Brazil;https://revistas.unisinos.br/index.php/sdrj;Verificado manualmente;https://revistas.unisinos.br/index.php/sdrj;"Portal oficial de revistas de Unisinos; ISSN 1984-2988."
139;Historia Caribe;23226889, 01228803;Sello editorial Universidad del Atlantico;Colombia;https://revistas.uniatlantico.edu.co/index.php/Historia_Caribe;Verificado manualmente;https://revistas.uniatlantico.edu.co/index.php/Historia_Caribe;"Portal oficial de revistas de la Universidad del Atlántico; ISSN 0122-8803 y 2322-6889."
141;Varia Historia;01048775, 19824343;Universidade Federal de Minas Gerais;Brazil;https://www.variahistoria.org/about;Verificado por ISSN en DOAJ;https://doaj.org/toc/629ca06c342c4d1c8b9beb85217b0684;"Coincidencia exacta de ISSN con el registro DOAJ de «Varia História»; editorial declarada: Universidade Federal de Minas Gerais."
145;Veritas;07189273, 07174675;Pontificio Seminario Mayor San Rafael;Chile;https://revistas.uc.cl/revista/revista-veritas/;Verificado manualmente;https://revistas.uc.cl/revista/revista-veritas/;"Portal oficial de revistas de la Pontificia Universidad Católica de Chile; ISSN 0717-4675 y 0718-9273."
148;Revista de Humanidades de Valparaiso;07194242, 07194234;Universidad De Valparaíso, Chile;Chile;https://revistas.uv.cl/index.php/RHV;Verificado manualmente;https://revistas.uv.cl/index.php/RHV;"Portal oficial de revistas de la Universidad de Valparaíso; ISSN 0719-4234 y 0719-4242."
149;Topicos;1666485X;Asociacion Revista de Filosofia de Santa Fe;Argentina;https://bibliotecavirtual.unl.edu.ar/publicaciones/index.php/Topicos;Verificado por ISSN en DOAJ;https://doaj.org/toc/00edc2b73d0a496490055e6773eedebc;"Coincidencia exacta de ISSN con el registro DOAJ de «Tópicos»; editorial declarada: Asociación Revista de Filosofía de Santa Fe."
