Rank;Sourceid;Title;Type;Issn;Publisher;Open Access;Open Access Diamond;SJR;SJR Best Quartile;H index;Total Docs. (2025);Total Docs. (3years);Total Refs.;Total Citations (3years);Citable Docs. (3years);Citations / Doc. (2years);Ref. / Doc.;%Female;Overton;Country;Region;Publisher;Coverage;Categories;Areas
61;5600152973;"Analisis Politico";journal;"01214705";"Universidad Nacional de Colombia";Yes;No;0,186;Q2;14;26;70;1363;41;65;0,67;52,42;19,44;0;Colombia;Latin America;"Universidad Nacional de Colombia";"1996, 2007-2012, 2014-2025";"History (Q2); Political Science and International Relations (Q3); Sociology and Political Science (Q3)";"Arts and Humanities; Social Sciences"
62;21100901477;"Historia Regional";journal;"03298213, 24690732";"Seccion Historia. Instituto Superior del Profesorado 'Eduardo Lafferriere'";Yes;Yes;0,186;Q2;3;56;167;2000;21;162;0,13;35,71;51,39;0;Argentina;Latin America;"Seccion Historia. Instituto Superior del Profesorado 'Eduardo Lafferriere'";"2018-2026";"History (Q2); Social Sciences (miscellaneous) (Q3)";"Arts and Humanities; Social Sciences"
63;21100945761;"Revista de Historia (Chile)";journal;"07169108, 07178832";"Universidad de Concepcion";Yes;Yes;0,185;Q2;6;30;128;1709;65;120;0,39;56,97;27,78;0;Chile;Latin America;"Universidad de Concepcion";"2019-2025";"History (Q2)";"Arts and Humanities"
64;5800207800;"Literatura y Linguistica";journal;"0717621X, 07165811";"Universidad Catolica Silva Henriquez";Yes;Yes;0,184;Q1;14;20;125;779;50;124;0,35;38,95;57,69;0;Chile;Latin America;"Universidad Catolica Silva Henriquez";"2008-2025";"Literature and Literary Theory (Q1); Linguistics and Language (Q2)";"Arts and Humanities; Social Sciences"
65;21101186901;"Urdimento";journal;"23586958";"State University of Santa Catarina";Yes;Yes;0,184;Q1;3;120;320;2184;11;309;0,04;18,20;56,67;0;Brazil;Latin America;"State University of Santa Catarina";"2021-2025";"Visual Arts and Performing Arts (Q1)";"Arts and Humanities"
66;20000195045;"Revista Colombiana de Antropologia";journal;"2539472X, 04866525";"Instituto Colombiano de Antropologia e Historia";Yes;Yes;0,184;Q2;15;30;68;1273;26;65;0,34;42,43;56,25;0;Colombia;Latin America;"Instituto Colombiano de Antropologia e Historia";"2011-2026";"Archeology (arts and humanities) (Q2); Cultural Studies (Q2); History (Q2); Anthropology (Q3)";"Arts and Humanities; Social Sciences"
67;21100793201;"Historia y Memoria";journal;"20275137, 2322777X";"Universidad Pedagogica y Tecnologica de Colombia";Yes;Yes;0,183;Q2;7;22;82;1062;26;75;0,33;48,27;42,11;0;Colombia;Latin America;"Universidad Pedagogica y Tecnologica de Colombia";"2015-2026";"History (Q2)";"Arts and Humanities"
68;21100843856;"Intus-Legere Historia";journal;"07185456, 07198949";"Universidad Adolfo Ibanez";Yes;Yes;0,181;Q2;4;28;98;917;19;90;0,25;32,75;44,00;0;Chile;Latin America;"Universidad Adolfo Ibanez";"2017-2025";"History (Q2)";"Arts and Humanities"
69;21101104846;"Cuestiones Teologicas";journal;"23899980, 0120131X";"Universidad Pontificia Bolivariana";Yes;Yes;0,180;Q2;4;21;69;918;12;67;0,09;43,71;35,71;0;Colombia;Latin America;"Universidad Pontificia Bolivariana";"2019-2026";"Religious Studies (Q2)";"Arts and Humanities"
70;21101109585;"Revista da Faculdade de Direito da Universidade Federal de Minas Gerais";journal;"19841841, 03042340";"Faculdade de Direito da Universidade Federal de Minas Gerais";Yes;Yes;0,180;Q2;3;34;122;1091;9;106;0,08;32,09;51,85;0;Brazil;Latin America;"Faculdade de Direito da Universidade Federal de Minas Gerais";"2019-2025";"Arts and Humanities (miscellaneous) (Q2); History (Q2); Philosophy (Q2); Law (Q3)";"Arts and Humanities; Social Sciences"
71;21101073713;"Letras (Peru)";journal;"20715072, 03784878";"National University of San Marcos. Faculty of Letters and Human Sciences";Yes;Yes;0,175;Q1;6;25;87;925;25;82;0,28;37,00;29,17;0;Peru;Latin America;"National University of San Marcos. Faculty of Letters and Human Sciences";"2018-2025";"Literature and Literary Theory (Q1); Arts and Humanities (miscellaneous) (Q2); Cultural Studies (Q2); Linguistics and Language (Q2); Social Sciences (miscellaneous) (Q3)";"Arts and Humanities; Social Sciences"
72;21100211324;"Lexis (Peru)";journal;"02549239, 22233768";"Pontificia Universidad Catolica del Peru";Yes;Yes;0,174;Q1;9;18;101;701;24;101;0,18;38,94;47,37;0;Peru;Latin America;"Pontificia Universidad Catolica del Peru";"2012-2025";"Literature and Literary Theory (Q1); Linguistics and Language (Q2)";"Arts and Humanities; Social Sciences"
